year,month,temperature
1891,Dec,-.04
1892,Dec,-.39
1893,Dec,-.34
1894,Dec,-.19
1895,Dec,-.15
1896,Dec,-.03
1897,Dec,-.19
1898,Dec,-.25
1899,Dec,-.28
1900,Dec,-.07
1901,Dec,-.28
1902,Dec,-.46
1903,Dec,-.53
1904,Dec,-.35
1905,Dec,-.18
1906,Dec,-.16
1907,Dec,-.48
1908,Dec,-.49
1909,Dec,-.55
1910,Dec,-.66
1911,Dec,-.22
1912,Dec,-.43
1913,Dec,-.03
1914,Dec,-.08
1915,Dec,-.16
1916,Dec,-.80
1917,Dec,-.67
1918,Dec,-.27
1919,Dec,-.40
1920,Dec,-.43
1921,Dec,-.16
1922,Dec,-.18
1923,Dec,-.02
1924,Dec,-.41
1925,Dec,.09
1926,Dec,-.27
1927,Dec,-.32
1928,Dec,-.17
1929,Dec,-.53
1930,Dec,-.06
1931,Dec,-.09
1932,Dec,-.25
1933,Dec,-.46
1934,Dec,-.04
1935,Dec,-.20
1936,Dec,-.03
1937,Dec,-.12
1938,Dec,-.22
1939,Dec,.44
1940,Dec,.27
1941,Dec,.20
1942,Dec,.07
1943,Dec,.24
1944,Dec,.02
1945,Dec,-.09
1946,Dec,-.35
1947,Dec,-.16
1948,Dec,-.23
1949,Dec,-.22
1950,Dec,-.20
1951,Dec,.14
1952,Dec,-.01
1953,Dec,.02
1954,Dec,-.22
1955,Dec,-.30
1956,Dec,-.08
1957,Dec,.16
1958,Dec,.00
1959,Dec,-.02
1960,Dec,.18
1961,Dec,-.15
1962,Dec,.00
1963,Dec,-.01
1964,Dec,-.30
1965,Dec,-.06
1966,Dec,-.05
1967,Dec,-.03
1968,Dec,-.12
1969,Dec,.28
1970,Dec,-.12
1971,Dec,-.09
1972,Dec,.19
1973,Dec,-.06
1974,Dec,-.09
1975,Dec,-.17
1976,Dec,.10
1977,Dec,.03
1978,Dec,.10
1979,Dec,.47
1980,Dec,.20
1981,Dec,.43
1982,Dec,.43
1983,Dec,.17
1984,Dec,-.05
1985,Dec,.15
1986,Dec,.16
1987,Dec,.48
1988,Dec,.33
1989,Dec,.38
1990,Dec,.41
1991,Dec,.32
1992,Dec,.22
1993,Dec,.16
1994,Dec,.36
1995,Dec,.28
1996,Dec,.40
1997,Dec,.59
1998,Dec,.56
1999,Dec,.43
2000,Dec,.29
2001,Dec,.56
2002,Dec,.44
2003,Dec,.73
2004,Dec,.51
2005,Dec,.65
2006,Dec,.74
2007,Dec,.46
2008,Dec,.53
2009,Dec,.65
2010,Dec,.46
2011,Dec,.53
2012,Dec,.52
2013,Dec,.65
2014,Dec,.78
2015,Dec,1.11
2016,Dec,.82
2017,Dec,.88
2018,Dec,0
